2022-10-03 00:01:00,048+0000 category: overall, apdex: {apdexScore=75, satisfiedCount=1, toleratingCount=1, frustratedCount=0}
2022-10-03 00:01:00,048+0000 category: jira.header.menu.profile, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-03 00:01:00,048+0000 category: jira.dashboard, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2022-10-05 19:01:00,036+0000 category: overall, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2022-10-05 19:01:00,036+0000 category: jira.agile.work, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2022-10-14 17:01:00,029+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2022-10-14 17:01:00,029+0000 category: overall, apdex: {apdexScore=66, satisfiedCount=1, toleratingCount=2, frustratedCount=0}
2022-10-14 17:01:00,029+0000 category: jira.dashboard, apdex: {apdexScore=75, satisfiedCount=1, toleratingCount=1, frustratedCount=0}
2022-10-14 18:01:00,001+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-14 18:01:00,001+0000 category: jira.project.issue.nav-detail, apdex: {apdexScore=100, satisfiedCount=4, toleratingCount=0, frustratedCount=0}
2022-10-14 18:01:00,001+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=100, satisfiedCount=4, toleratingCount=0, frustratedCount=0}
2022-10-14 18:01:00,001+0000 category: overall, apdex: {apdexScore=100, satisfiedCount=10, toleratingCount=0, frustratedCount=0}
2022-10-14 18:01:00,001+0000 category: jira.dashboard, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-14 19:01:00,001+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-14 19:01:00,002+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2022-10-14 19:01:00,002+0000 category: overall, apdex: {apdexScore=100, satisfiedCount=4, toleratingCount=0, frustratedCount=0}
2022-10-14 19:01:00,003+0000 category: jira.dashboard, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 14:01:00,053+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2022-10-15 14:01:00,054+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=90, satisfiedCount=4, toleratingCount=1, frustratedCount=0}
2022-10-15 14:01:00,054+0000 category: overall, apdex: {apdexScore=88, satisfiedCount=7, toleratingCount=2, frustratedCount=0}
2022-10-15 14:01:00,054+0000 category: jira.header.menu.profile, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 14:01:00,054+0000 category: jira.dashboard, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2022-10-15 15:01:00,001+0000 category: jira.agile.report, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2022-10-15 15:01:00,004+0000 category: jira.header.menu.issues, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2022-10-15 15:01:00,004+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=100, satisfiedCount=7, toleratingCount=0, frustratedCount=0}
2022-10-15 15:01:00,005+0000 category: jira.dialog.open.edit-issue-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 15:01:00,005+0000 category: jira.dashboard, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 15:01:00,005+0000 category: jira.header.menu.projects, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 15:01:00,005+0000 category: overall, apdex: {apdexScore=92, satisfiedCount=12, toleratingCount=2, frustratedCount=0}
2022-10-15 15:01:00,006+0000 category: jira.agile.plan, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2022-10-15 16:01:00,001+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 16:01:00,002+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=100, satisfiedCount=5, toleratingCount=0, frustratedCount=0}
2022-10-15 16:01:00,005+0000 category: overall, apdex: {apdexScore=100, satisfiedCount=6, toleratingCount=0, frustratedCount=0}
2022-10-15 17:01:00,002+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 17:01:00,004+0000 category: jira.project.issue.nav-detail, apdex: {apdexScore=95, satisfiedCount=11, toleratingCount=1, frustratedCount=0}
2022-10-15 17:01:00,005+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=100, satisfiedCount=12, toleratingCount=0, frustratedCount=0}
2022-10-15 17:01:00,006+0000 category: jira.administration.project.summary, apdex: {apdexScore=75, satisfiedCount=2, toleratingCount=2, frustratedCount=0}
2022-10-15 17:01:00,006+0000 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 17:01:00,006+0000 category: jira.header.menu.projects, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 17:01:00,007+0000 category: overall, apdex: {apdexScore=95, satisfiedCount=29, toleratingCount=3, frustratedCount=0}
2022-10-15 17:01:00,007+0000 category: jira.agile.plan, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 18:01:00,001+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2022-10-15 18:01:00,005+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=100, satisfiedCount=26, toleratingCount=0, frustratedCount=0}
2022-10-15 18:01:00,006+0000 category: jira.project.issue.nav-detail, apdex: {apdexScore=100, satisfiedCount=62, toleratingCount=0, frustratedCount=0}
2022-10-15 18:01:00,006+0000 category: jira.dialog.open.edit-issue-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 18:01:00,006+0000 category: jira.dashboard, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 18:01:00,007+0000 category: overall, apdex: {apdexScore=100, satisfiedCount=95, toleratingCount=0, frustratedCount=0}
2022-10-15 18:01:00,007+0000 category: jira.header.menu.help, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-15 18:01:00,007+0000 category: jira.dialog.open.delete-issue-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-16 10:19:07,725+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=2, frustratedCount=0}
2022-10-16 10:19:07,742+0000 category: overall, apdex: {apdexScore=37, satisfiedCount=0, toleratingCount=3, frustratedCount=1}
2022-10-16 10:19:07,744+0000 category: jira.dashboard, apdex: {apdexScore=25, satisfiedCount=0, toleratingCount=1, frustratedCount=1}
2022-10-16 11:25:03,801+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=5, frustratedCount=0}
2022-10-16 11:25:03,811+0000 category: overall, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=5, frustratedCount=0}
2022-10-16 13:29:04,545+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=66, satisfiedCount=2, toleratingCount=4, frustratedCount=0}
2022-10-16 13:29:04,548+0000 category: overall, apdex: {apdexScore=66, satisfiedCount=2, toleratingCount=4, frustratedCount=0}
2022-10-18 09:01:00,002+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=87, satisfiedCount=3, toleratingCount=1, frustratedCount=0}
2022-10-18 09:01:00,009+0000 category: overall, apdex: {apdexScore=87, satisfiedCount=3, toleratingCount=1, frustratedCount=0}
2022-10-18 10:01:00,005+0000 category: jira.dialog.open.delete-issue-link-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2022-10-18 10:01:00,011+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=83, satisfiedCount=2, toleratingCount=1, frustratedCount=0}
2022-10-18 10:01:00,013+0000 category: jira.project.issue.nav-detail, apdex: {apdexScore=25, satisfiedCount=0, toleratingCount=1, frustratedCount=1}
2022-10-18 10:01:00,014+0000 category: jira.administration.project.summary, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2022-10-18 10:01:00,016+0000 category: jira.header.menu.projects, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2022-10-18 10:01:00,017+0000 category: jira.dialog.open.clone-issue-dialog, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2022-10-18 10:01:00,018+0000 category: overall, apdex: {apdexScore=67, satisfiedCount=8, toleratingCount=3, frustratedCount=3}
2022-10-18 10:01:00,019+0000 category: jira.agile.plan, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
